dwNestID;dwHiveID;dwTacticsID;nRegionDBID;fLocalPosX;fLocalPosY;fLocalPosZ;wInitialDir;nRadius;nGenerateRadius;nChampionGenPercentage;dwDelayTimeMin;dwDelayTimeMax;dwMaxTotalCount;btFlag;btRespawn;btType
36;2;1019;25257;659,74;0;981,13;-16385;0;0;0;0;0;1;0;1;0
37;2;1026;25257;692,16;-0,02;137,35;-16203;0;0;0;0;0;1;0;1;0
39;2;1030;25001;1387,17;-0,07;1765,02;32767;0;0;0;0;0;1;0;1;0
44;2;1011;25001;183,8;-35,99;913,08;-16203;0;0;0;0;0;1;0;1;0
45;2;1012;25001;225,84;-35,98;911,37;-16203;0;0;0;0;0;1;0;1;0
46;2;1036;25001;509,22;-64,83;755,24;16383;0;0;0;0;0;1;0;1;0
50;2;1027;25000;1009,54;0;1902,64;-16203;0;0;0;0;0;1;0;1;0
51;2;1028;25000;937,55;0;1902,71;-16203;0;0;0;0;0;1;0;1;0
52;2;1001;25000;332,73;0;1406,7;0;0;0;0;0;0;1;0;1;0
53;2;1002;25000;332,17;0;1085,23;0;0;0;0;0;0;1;0;1;0
54;2;1009;25000;980,8;-32,43;989,13;16565;0;0;0;0;0;1;0;1;0
55;2;1010;25000;980,35;-32,52;989,19;16565;0;0;0;0;0;1;0;1;0
61;2;1005;25000;329,21;0;450,6;0;0;0;0;0;0;1;0;1;0
65;2;1024;25000;1670,68;11;580,81;-32587;0;0;0;0;0;1;0;1;0
66;2;1025;25000;1670,79;11;260,54;-32587;0;0;0;0;0;1;0;1;0
68;2;1004;25000;1658,55;0;1078,19;-32587;0;0;0;0;0;1;0;1;0
69;2;1003;25000;1584,08;0;1407,29;-32587;0;0;0;0;0;1;0;1;0
70;2;1038;24999;1405,36;0,71;1192,83;0;0;0;0;0;0;1;0;1;0
71;2;1041;24999;1500,02;0;966,17;-32587;0;0;0;0;0;1;0;1;0
73;2;1040;24999;772,73;-2,12;1045,69;0;0;0;0;0;0;1;0;1;0
74;2;1039;24999;793,91;-3,45;1033,92;29308;0;0;0;0;0;1;0;1;0
77;2;1032;24999;334,4;-1,28;1849,16;0;0;0;0;0;0;1;0;1;0
80;2;1018;25255;1491,36;40;1520,07;-16385;0;0;0;0;0;1;0;1;0
249;81;2;25258;812,68;75,08;392,9;0;500;400;10;8;12;15;0;1;0
255;81;2;25258;1610,9;60,94;503,83;0;800;700;10;8;12;15;0;1;0
257;81;2;25002;1725,88;20,07;1273,01;0;800;700;10;8;12;15;0;1;0
263;81;2;24746;696,1;56,98;1510,15;0;500;400;10;8;12;15;0;1;0
340;81;2;24745;1897,92;39,46;721,31;0;600;500;10;8;12;15;0;1;0
345;81;2;24745;995,83;21,69;680,79;0;500;400;10;8;12;15;0;1;0
370;81;2;24744;1842,3;-29,38;600,94;0;600;500;10;8;12;15;0;1;0
371;81;2;24744;1260,99;0,03;22,69;0;800;700;10;8;12;15;0;1;0
372;81;2;24744;1089,65;-28,38;600,09;0;600;500;10;8;12;15;0;1;0
373;81;2;24744;553,74;-30,53;471,07;0;600;500;10;8;12;15;0;1;0
378;81;2;24743;1754,67;-30,53;674,61;0;600;500;10;8;12;15;0;1;0
382;81;2;24488;1130,58;28,91;1566,93;0;700;600;10;8;12;15;0;1;0
1703;81;2;24487;1039,77;-16,42;1034,5;0;800;700;10;8;12;15;0;1;0
1705;81;2;24487;1339,04;-40,29;1661,79;0;800;700;10;8;12;15;0;1;0
1709;80;5;23717;1291,96;464,97;1912,53;0;700;600;10;8;12;10;0;1;0
1710;80;5;23976;6,19;163,39;1896,42;0;700;600;10;8;12;10;0;1;0
1712;80;5;24232;1677,53;83,69;1391,26;0;700;600;10;8;12;10;0;1;0
1715;164;4;24233;1805,95;76,52;1549,89;0;700;600;0;8;12;10;0;1;0
1716;80;5;24490;1555,02;16,01;125,68;0;700;600;10;8;12;10;0;1;0
1717;80;5;24490;33,37;0,41;1855,28;0;700;600;10;8;12;10;0;1;0
1718;80;5;24490;1919,72;60,52;1858,33;0;700;600;10;8;12;10;0;1;0
1720;81;2;25254;372,92;100,92;1698,35;0;800;700;10;8;12;15;0;1;0
1721;81;2;24998;738,37;161,54;1579,62;0;700;600;10;8;12;15;0;1;0
1723;81;2;24230;30,12;435,19;1520,71;0;700;600;10;8;12;15;0;1;0
1724;81;2;24485;861,25;362,92;677,08;0;700;600;10;8;12;15;0;1;0
1725;81;2;24485;927,08;193,35;1500,33;0;700;600;10;8;12;15;0;1;0
1726;81;2;24746;1813,52;38,58;1883,61;0;800;700;10;8;12;15;0;1;0
1727;81;2;24746;1881,96;155,53;247,34;0;800;700;10;8;12;15;0;1;0
1728;81;2;25254;285,53;110,72;477,62;0;700;600;10;8;12;15;0;1;0
1730;81;2;25254;759,07;30,29;1233,44;0;800;700;10;8;12;15;0;1;0
1732;81;2;24998;516,73;146,9;546,85;0;800;700;10;8;12;15;0;1;0
1733;81;2;24998;1262,01;42,57;199,82;0;600;500;10;8;12;15;0;1;0
1734;81;2;24742;0,13;189,94;1441,03;0;700;600;10;8;12;15;0;1;0
1735;81;2;24741;1295,2;182,55;731,12;0;700;600;10;8;12;15;0;1;0
1736;81;2;24742;937,89;119,82;1190,4;0;700;600;10;8;12;15;0;1;0
1738;82;4;24485;1689,47;158,54;1672,68;0;700;600;10;8;12;12;0;1;0
1739;81;2;24742;1694,5;114,94;943,28;0;600;500;10;8;12;15;0;1;0
1740;81;2;24742;868,4;151,27;166,02;0;700;600;10;8;12;15;0;1;0
1741;81;2;24485;1322,64;382,36;80,81;0;700;600;10;8;12;15;0;1;0
1743;81;2;24486;638,44;175,53;1453,45;0;800;700;10;8;12;15;0;1;0
1744;81;2;24486;350,56;356,51;570,7;0;800;700;10;8;12;15;0;1;0
1745;82;4;24230;699,14;339,95;1845,06;0;800;700;10;8;12;12;0;1;0
1746;81;2;24486;967,54;287,13;612,91;0;800;700;10;8;12;15;0;1;0
1747;81;2;24743;621,59;46,25;457,74;0;800;700;10;8;12;15;0;1;0
1748;81;2;24487;45,45;43,06;1415,36;0;800;700;10;8;12;15;0;1;0
1749;82;4;24230;1276,57;120,18;1591,32;0;800;700;10;8;12;12;0;1;0
1750;81;2;24488;252,75;-49,45;1539,01;0;700;600;10;8;12;15;0;1;0
1751;81;2;24487;1770,22;-36,56;875,67;0;700;600;10;8;12;15;0;1;0
1752;81;2;24487;411,14;11,27;342,95;0;700;600;10;8;12;15;0;1;0
1753;81;2;24230;789,19;312,42;423,65;0;700;600;10;8;12;15;0;1;0
1754;81;2;24231;123,49;102,59;891,66;0;700;600;10;8;12;15;0;1;0
1755;81;2;24231;890,01;54,89;1504,34;0;700;600;10;8;12;15;0;1;0
1756;81;2;24232;122,34;129,7;932,38;0;700;600;10;8;12;15;0;1;0
1757;82;4;24232;486,33;113,68;1903,17;0;800;700;10;8;12;12;0;1;0
1758;82;4;24232;1143,36;56,38;964,88;0;700;600;10;8;12;12;0;1;0
1762;82;4;24489;1202,4;140,89;1173,17;0;800;700;10;8;12;12;0;1;0
1763;81;2;24490;283,21;66,19;892,81;0;800;700;10;8;12;15;0;1;0
1765;81;2;24746;1014,54;106,37;331,48;0;800;700;10;8;12;15;0;1;0
1766;81;2;24746;1627,7;80,5;990,88;0;800;700;10;8;12;15;0;1;0
1767;164;4;23973;1504,55;490,63;615,16;0;700;600;0;8;12;10;0;1;0
1768;80;5;23974;335,45;541,61;1099,25;0;700;600;10;8;12;10;0;1;0
1770;80;5;23974;1248,96;451,99;1206,67;0;700;600;10;8;12;10;0;1;0
1771;80;5;23974;1246,35;287,91;251,99;0;700;600;10;8;12;10;0;1;0
1773;80;5;23718;1026,02;190,34;416,05;0;700;600;10;8;12;10;0;1;0
1774;80;5;23719;292,14;191,11;392,05;0;700;600;10;8;12;10;0;1;0
1775;80;5;23719;1620,58;182,01;386,53;0;700;600;10;8;12;10;0;1;0
1776;80;5;23720;915,54;163,75;566,03;0;700;600;10;8;12;10;0;1;0
1777;80;5;23721;240,46;70,46;696,94;0;700;600;10;8;12;10;0;1;0
1778;80;5;23721;1374,87;28,79;1710,05;0;600;500;10;8;12;8;0;1;0
1779;164;4;23977;218,66;94,28;111,46;0;700;600;0;8;12;10;0;1;0
1781;80;5;23719;554,12;78,88;1821,32;0;700;600;10;8;12;10;0;1;0
1782;80;5;23975;257,1;338,95;1012,42;0;700;600;10;8;12;10;0;1;0
1784;80;5;23975;1278,47;218,64;758,69;0;700;600;10;8;12;10;0;1;0
1785;164;4;23720;994,1;55,58;1750,38;0;700;600;0;8;12;10;0;1;0
1786;164;4;23976;327,24;207,44;1036,73;0;700;600;0;8;12;10;0;1;0
1788;80;5;23976;1175,95;124,91;786,44;0;700;600;10;8;12;10;0;1;0
1789;80;5;23977;252,41;48,6;1742,35;0;700;600;10;8;12;10;0;1;0
1790;164;4;23974;748,33;405,37;600,75;0;700;600;0;8;12;10;0;1;0
1792;92;16;24229;893,84;231,81;246,69;0;700;600;10;8;12;10;0;1;0
1793;80;5;24231;1158,43;75,97;724,31;0;700;600;10;8;12;10;0;1;0
1794;164;4;23977;757,63;41,58;794,7;0;700;600;0;8;12;10;0;1;0
1795;80;5;23977;1525,42;27,62;1633,93;0;700;600;10;8;12;10;0;1;0
1797;80;11;24233;979,54;8,35;1014,29;0;700;600;10;8;12;12;0;1;0
1799;164;4;24234;910,27;21,09;1276,74;0;700;600;0;8;12;10;0;1;0
1801;80;5;24234;343,1;20,42;424,24;0;700;600;10;8;12;10;0;1;0
1804;164;4;23720;1739,27;39,21;1138,35;0;700;600;0;8;12;10;0;1;0
1805;164;4;23719;974,3;128,93;788,36;0;700;600;0;8;12;10;0;1;0
1806;164;4;23719;1235,2;42,24;1808,41;0;700;600;0;8;12;10;0;1;0
1807;82;4;24742;643,64;49,79;1828,97;0;700;600;0;8;12;10;0;1;0
1808;82;4;24486;1288,76;131,84;1166,97;0;700;600;0;8;12;10;0;1;0
1809;82;4;24231;140,84;-30,59;1624,73;0;700;600;0;8;12;10;0;1;0
1810;82;4;24488;1671,07;-52,17;521,06;0;700;600;0;8;12;10;0;1;0
1812;80;5;24490;1105,27;44,24;1027,82;0;700;600;10;8;12;10;0;1;0
1814;164;4;24490;620,29;54,79;1598,02;0;700;600;0;8;12;10;0;1;0
1815;164;4;24491;108,6;23,15;1125,6;0;700;600;0;8;12;10;0;1;0
1816;82;4;24746;733,95;83,56;867,89;0;700;600;0;8;12;10;0;1;0
1818;164;4;24231;599,65;171,01;250,59;0;700;600;0;8;12;10;0;1;0
1819;80;5;23718;525,35;210,8;954,3;0;700;600;10;8;12;10;0;1;0
1820;164;4;23975;48,56;178,27;273,88;0;700;600;0;8;12;10;0;1;0
1822;164;4;23720;184,68;140,57;747,12;0;700;600;0;8;12;10;0;1;0
1823;83;7;25002;1360,95;25,1;396,15;0;700;600;0;8;12;10;0;1;0
1824;83;8;25258;327;39,4;1865,36;0;500;400;10;8;12;10;0;1;0
1831;83;7;25002;651,82;9,83;319,39;0;500;400;0;8;12;10;0;1;0
1832;83;8;25003;1255,9;50,55;62,67;0;700;600;10;8;12;10;0;1;0
1833;83;7;25003;565,12;3,33;1919,28;0;700;600;0;8;12;10;0;1;0
1834;83;7;25003;1619,94;113,3;1894,58;0;700;600;0;8;12;10;0;1;0
1835;83;8;25260;438,4;208,63;844,77;0;700;600;10;8;12;10;0;1;0
1836;83;7;25260;1695,58;247,97;923,35;0;700;600;0;8;12;10;0;1;0
1837;83;7;25516;706,99;57,03;51,54;0;700;600;0;8;12;10;0;1;0
1838;83;8;25516;496,74;50,86;537,46;0;600;500;10;8;12;8;0;1;0
1839;83;8;25516;1447,37;102,45;499,6;0;600;500;10;8;12;8;0;1;0
1840;83;8;25517;762,42;101,1;555,56;0;700;600;10;8;12;10;0;1;0
1841;83;7;25261;282,18;146,22;1800,1;0;700;600;0;8;12;10;0;1;0
1842;83;8;25261;1161,04;254,46;1194,25;0;700;600;10;8;12;10;0;1;0
1843;83;7;25261;796,85;250,91;292,42;0;700;600;0;8;12;10;0;1;0
1844;83;7;25005;1469,18;405,63;1484,99;0;700;600;0;8;12;10;0;1;0
1845;83;8;25005;376,79;263,2;1435,28;0;700;600;10;8;12;10;0;1;0
1846;83;8;25004;997,68;236,64;894,85;0;700;600;10;8;12;10;0;1;0
1847;83;7;25004;116,96;28,5;694,55;0;700;600;0;8;12;10;0;1;0
1848;83;8;24748;898,81;249,56;1843,83;0;700;600;10;8;12;10;0;1;0
1849;83;8;24747;1759,94;59,82;1181,15;0;700;600;10;8;12;10;0;1;0
1850;83;8;24749;1064,56;305,13;1863,06;0;700;600;10;8;12;10;0;1;0
1851;83;8;24748;1896,18;264,83;1770,42;0;700;600;10;8;12;10;0;1;0
1852;83;8;24749;719,54;251,56;1006,98;0;700;600;10;8;12;10;0;1;0
1853;83;8;24749;1526,71;331,04;251,79;0;700;600;10;8;12;10;0;1;0
1854;83;8;24749;300,9;273,13;243,49;0;700;600;10;8;12;10;0;1;0
1855;83;8;24748;530,63;240,5;370,86;0;700;600;10;8;12;10;0;1;0
1856;83;8;24747;777,43;99,06;914,93;0;700;600;10;8;12;10;0;1;0
1857;83;8;24491;1590,35;137,56;1748,57;0;700;600;10;8;12;10;0;1;0
1858;83;8;24491;1072,88;66,42;1078,86;0;700;600;10;8;12;10;0;1;0
1859;83;8;24492;1187,61;209,17;1120,71;0;700;600;10;8;12;10;0;1;0
1860;83;8;24493;583,07;286,82;1345,42;0;700;600;10;8;12;10;0;1;0
1862;83;7;25261;496,34;292,29;1006,82;0;700;600;0;8;12;10;0;1;0
1863;83;7;25517;200,83;60,07;865,35;0;700;600;0;8;12;10;0;1;0
1864;83;7;25260;964,73;149,59;1235,12;0;700;600;0;8;12;10;0;1;0
