MonLevel;ProbGroup1;ProbGroup2;ProbGroup3;ProbGroup4;ProbGroup5;ProbGroup6;ProbGroup7
1;0,04;0;0;0;0;0,01;0,005
2;0,04;0;0;0;0;0,01;0,005
3;0,04;0;0;0;0;0,01;0,005
4;0,04;0;0;0;0;0,01;0,005
5;0,04;0;0;0;0;0,01;0,005
6;0,04;0;0;0;0;0,01;0,005
7;0,04;0;0;0;0;0,01;0,005
8;0,04;0;0;0;0;0,01;0,005
9;0,04;0;0;0;0;0,01;0,005
10;0,04;0;0;0;0;0,01;0,005
11;0,04;0;0;0;0;0,01;0,005
12;0,04;0;0;0;0;0,01;0,005
13;0,04;0;0;0;0;0,01;0,005
14;0,04;0;0;0;0;0,01;0,005
15;0;0,04;0;0;0;0,01;0,005
16;0;0,04;0;0;0;0,01;0,005
17;0;0,04;0;0;0;0,01;0,005
18;0;0,04;0;0;0;0,01;0,005
19;0;0,04;0;0;0;0,01;0,005
20;0;0,04;0;0;0;0,01;0,005
21;0;0,04;0;0;0;0,01;0,005
22;0;0,04;0;0;0;0,01;0,005
23;0;0,04;0;0;0;0,01;0,005
24;0;0,04;0;0;0;0,01;0,005
25;0;0,04;0;0;0;0,01;0,005
26;0;0,04;0;0;0;0,01;0,005
27;0;0,04;0;0;0;0,01;0,005
28;0;0,04;0;0;0;0,01;0,005
29;0;0,04;0;0;0;0,01;0,005
30;0;0;0,04;0;0;0,01;0,005
31;0;0;0,04;0;0;0,01;0,005
32;0;0;0,04;0;0;0,01;0,005
33;0;0;0,04;0;0;0,01;0,005
34;0;0;0,04;0;0;0,01;0,005
35;0;0;0,04;0;0;0,01;0,005
36;0;0;0,04;0;0;0,01;0,005
37;0;0;0,04;0;0;0,01;0,005
38;0;0;0,04;0;0;0,01;0,005
39;0;0;0,04;0;0;0,01;0,005
40;0;0;0,04;0;0;0,01;0,005
41;0;0;0,04;0;0;0,01;0,005
42;0;0;0,04;0;0;0,01;0,005
43;0;0;0,04;0;0;0,01;0,005
44;0;0;0,04;0;0;0,01;0,005
45;0;0;0,04;0;0;0,01;0,005
46;0;0;0,04;0;0;0,01;0,005
47;0;0;0,04;0;0;0,01;0,005
48;0;0;0,04;0;0;0,01;0,005
49;0;0;0,04;0;0;0,01;0,005
50;0;0;0;0,04;0;0,01;0,005
51;0;0;0;0,04;0;0,01;0,005
52;0;0;0;0,04;0;0,01;0,005
53;0;0;0;0,04;0;0,01;0,005
54;0;0;0;0,04;0;0,01;0,005
55;0;0;0;0,04;0;0,01;0,005
56;0;0;0;0,04;0;0,01;0,005
57;0;0;0;0,04;0;0,01;0,005
58;0;0;0;0,04;0;0,01;0,005
59;0;0;0;0,04;0;0,01;0,005
60;0;0;0;0,04;0;0,01;0,005
61;0;0;0;0,04;0;0,01;0,005
62;0;0;0;0,04;0;0,01;0,005
63;0;0;0;0,04;0;0,01;0,005
64;0;0;0;0,04;0;0,01;0,005
65;0;0;0;0,04;0;0,01;0,005
66;0;0;0;0,04;0;0,01;0,005
67;0;0;0;0,04;0;0,01;0,005
68;0;0;0;0,04;0;0,01;0,005
69;0;0;0;0,04;0;0,01;0,005
70;0;0;0;0,04;0;0,01;0,005
71;0;0;0;0,04;0;0,01;0,005
72;0;0;0;0,04;0;0,01;0,005
73;0;0;0;0,04;0;0,01;0,005
74;0;0;0;0,04;0;0,01;0,005
75;0;0;0;0;0,04;0,01;0,005
76;0;0;0;0;0,04;0,01;0,005
77;0;0;0;0;0,04;0,01;0,005
78;0;0;0;0;0,04;0,01;0,005
79;0;0;0;0;0,04;0,01;0,005
80;0;0;0;0;0,04;0,01;0,005
81;0;0;0;0;0,04;0,01;0,005
82;0;0;0;0;0,04;0,01;0,005
83;0;0;0;0;0,04;0,01;0,005
84;0;0;0;0;0,04;0,01;0,005
85;0;0;0;0;0,04;0,01;0,005
86;0;0;0;0;0,04;0,01;0,005
87;0;0;0;0;0,04;0,01;0,005
88;0;0;0;0;0,04;0,01;0,005
89;0;0;0;0;0,04;0,01;0,005
90;0;0;0;0;0,04;0,01;0,005
91;0;0;0;0;0,04;0,01;0,005
92;0;0;0;0;0,04;0,01;0,005
93;0;0;0;0;0,04;0,01;0,005
94;0;0;0;0;0,04;0,01;0,005
95;0;0;0;0;0,04;0,01;0,005
96;0;0;0;0;0,04;0,01;0,005
97;0;0;0;0;0,04;0,01;0,005
98;0;0;0;0;0,04;0,01;0,005
99;0;0;0;0;0,04;0,01;0,005
100;0;0;0;0;0,04;0,01;0,005
101;0;0;0;0;0,04;0,01;0,005
102;0;0;0;0;0,04;0,01;0,005
103;0;0;0;0;0,04;0,01;0,005
104;0;0;0;0;0,04;0,01;0,005
105;0;0;0;0;0,04;0,01;0,005
106;0;0;0;0;0,04;0,01;0,005
107;0;0;0;0;0,04;0,01;0,005
108;0;0;0;0;0,04;0,01;0,005
109;0;0;0;0;0,04;0,01;0,005
110;0;0;0;0;0,04;0,01;0,005
111;0;0;0;0;0,04;0,01;0,005
112;0;0;0;0;0,04;0,01;0,005
113;0;0;0;0;0,04;0,01;0,005
114;0;0;0;0;0,04;0,01;0,005
115;0;0;0;0;0,04;0,01;0,005
116;0;0;0;0;0,04;0,01;0,005
117;0;0;0;0;0,04;0,01;0,005
118;0;0;0;0;0,04;0,01;0,005
119;0;0;0;0;0,04;0,01;0,005
120;0;0;0;0;0,04;0,01;0,005
121;0;0;0;0;0,04;0,01;0,005
122;0;0;0;0;0,04;0,01;0,005
123;0;0;0;0;0,04;0,01;0,005
124;0;0;0;0;0,04;0,01;0,005
125;0;0;0;0;0,04;0,01;0,005
126;0;0;0;0;0,04;0,01;0,005
127;0;0;0;0;0,04;0,01;0,005
128;0;0;0;0;0,04;0,01;0,005
129;0;0;0;0;0,04;0,01;0,005
130;0;0;0;0;0,04;0,01;0,005
131;0;0;0;0;0,04;0,01;0,005
132;0;0;0;0;0,04;0,01;0,005
133;0;0;0;0;0,04;0,01;0,005
134;0;0;0;0;0,04;0,01;0,005
135;0;0;0;0;0,04;0,01;0,005
136;0;0;0;0;0,04;0,01;0,005
137;0;0;0;0;0,04;0,01;0,005
138;0;0;0;0;0,04;0,01;0,005
139;0;0;0;0;0,04;0,01;0,005
140;0;0;0;0;0,04;0,01;0,005
141;0;0;0;0;0,04;0,01;0,005
142;0;0;0;0;0,04;0,01;0,005
143;0;0;0;0;0,04;0,01;0,005
144;0;0;0;0;0,04;0,01;0,005
145;0;0;0;0;0,04;0,01;0,005
146;0;0;0;0;0,04;0,01;0,005
147;0;0;0;0;0,04;0,01;0,005
148;0;0;0;0;0,04;0,01;0,005
149;0;0;0;0;0,04;0,01;0,005
150;0;0;0;0;0,04;0,01;0,005
151;0;0;0;0;0,04;0,01;0,005
152;0;0;0;0;0,04;0,01;0,005
153;0;0;0;0;0,04;0,01;0,005
