Service;RefItemID;Prob_Relative;Prob_Absolute;AssignedGroup;DropCount
1;4;100;100;1;1
1;5;100;100;2;1
1;6;100;100;3;1
1;7;100;100;4;1
1;8;100;100;5;1
1;9;100;100;6;1
0;10;100;100;7;1
1;11;100;100;1;1
1;12;100;100;2;1
1;13;100;100;3;1
1;14;100;100;4;1
1;15;100;100;5;1
1;16;100;100;6;1
0;17;100;100;7;1
1;18;100;50;1;1
1;19;100;50;2;1
1;20;100;50;3;1
1;21;100;50;4;1
1;22;100;50;5;1
1;23;100;50;6;1
0;24;100;50;7;1
0;25;100;100;1;1
0;26;100;100;2;1
0;27;100;100;3;1
0;28;100;100;4;1
0;29;100;100;5;1
0;30;100;100;6;1
0;31;100;100;1;1
0;32;100;100;2;1
0;33;100;100;3;1
0;34;100;100;4;1
0;35;100;100;5;1
0;36;100;100;6;1
0;37;100;100;1;1
0;38;100;100;2;1
0;39;100;100;3;1
0;40;100;100;4;1
0;41;100;100;5;1
0;42;100;100;6;1
0;43;100;100;1;1
0;44;100;100;2;1
0;45;100;100;3;1
0;46;100;100;4;1
0;47;100;100;5;1
0;48;100;100;6;1
0;49;100;100;1;1
0;50;100;100;2;1
0;51;100;100;3;1
0;52;100;100;4;1
0;53;100;100;5;1
0;54;100;100;6;1
1;55;100;100;1;1
1;56;100;100;2;1
1;57;100;100;3;1
1;58;100;100;4;1
1;59;100;100;5;1
0;60;100;100;6;1
1;61;100;100;1;1
1;62;100;100;1;20
1;62;100;100;2;50
1;62;100;100;3;70
1;62;100;100;4;100
1;62;100;100;5;150
1;62;100;100;6;250
1;10383;100;100;1;20
1;10383;100;100;2;50
1;10383;100;100;3;70
1;10383;100;100;4;100
1;10383;100;100;5;150
1;10383;100;100;6;250
1;3675;100;100;1;1
1;3676;100;100;1;1
1;3677;100;100;1;1
1;3678;100;100;1;1
1;3679;100;100;2;1
1;3680;100;100;2;1
1;3681;100;100;2;1
1;3682;100;100;2;1
1;6295;30;100;1;1
1;6296;30;100;2;1
1;6297;30;100;3;1
1;6298;30;100;4;1
1;6299;30;100;5;1
1;6300;30;100;6;1
1;6301;30;100;7;1
1;6302;30;100;8;1
1;6303;30;100;9;1
1;6304;30;100;10;1
1;6305;30;100;11;1
1;6306;30;100;12;1
1;6307;60;100;1;1
1;6308;60;100;2;1
1;6309;60;100;3;1
1;6310;60;100;4;1
1;6311;60;100;5;1
1;6312;60;100;6;1
1;6313;60;100;7;1
1;6314;60;100;8;1
1;6315;60;100;9;1
1;6316;60;100;10;1
1;6317;60;100;11;1
1;6318;60;100;12;1
1;6319;60;100;1;1
1;6320;60;100;2;1
1;6321;60;100;3;1
1;6322;60;100;4;1
1;6323;60;100;5;1
1;6324;60;100;6;1
1;6325;60;100;7;1
1;6326;60;100;8;1
1;6327;60;100;9;1
1;6328;60;100;10;1
1;6329;60;100;11;1
1;6330;60;100;12;1
1;6331;100;100;1;1
1;6332;100;100;2;1
1;6333;100;100;3;1
1;6334;100;100;4;1
1;6335;100;100;5;1
1;6336;100;100;6;1
1;6337;100;100;7;1
1;6338;100;100;8;1
1;6339;100;100;9;1
1;6340;100;100;10;1
1;6341;100;100;11;1
1;6342;100;100;12;1
1;6343;30;100;1;1
1;6344;30;100;2;1
1;6345;30;100;3;1
1;6346;30;100;4;1
1;6347;30;100;5;1
1;6348;30;100;6;1
1;6349;30;100;7;1
1;6350;30;100;8;1
1;6351;30;100;9;1
1;6352;30;100;10;1
1;6353;30;100;11;1
1;6354;30;100;12;1
1;6355;30;100;1;1
1;6356;30;100;2;1
1;6357;30;100;3;1
1;6358;30;100;4;1
1;6359;30;100;5;1
1;6360;30;100;6;1
1;6361;30;100;7;1
1;6362;30;100;8;1
1;6363;30;100;9;1
1;6364;30;100;10;1
1;6365;30;100;11;1
1;6366;30;100;12;1
1;6367;100;100;1;1
1;6368;100;100;2;1
1;6369;100;100;3;1
1;6370;100;100;4;1
1;6371;100;100;5;1
1;6372;100;100;6;1
1;6373;100;100;7;1
1;6374;100;100;8;1
1;6375;100;100;9;1
1;6376;100;100;10;1
1;6377;100;100;11;1
1;6378;100;100;12;1
1;6379;30;100;1;1
1;6380;30;100;2;1
1;6381;30;100;3;1
1;6382;30;100;4;1
1;6383;30;100;5;1
1;6384;30;100;6;1
1;6385;30;100;7;1
1;6386;30;100;8;1
1;6387;30;100;9;1
1;6388;30;100;10;1
1;6389;30;100;11;1
1;6390;30;100;12;1
1;6391;60;100;1;1
1;6392;60;100;2;1
1;6393;60;100;3;1
1;6394;60;100;4;1
1;6395;60;100;5;1
1;6396;60;100;6;1
1;6397;60;100;7;1
1;6398;60;100;8;1
1;6399;60;100;9;1
1;6400;60;100;10;1
1;6401;60;100;11;1
1;6402;60;100;12;1
1;6403;100;100;1;1
1;6404;100;100;2;1
1;6405;100;100;3;1
1;6406;100;100;4;1
1;6407;100;100;5;1
1;6408;100;100;6;1
1;6409;100;100;7;1
1;6410;100;100;8;1
1;6411;100;100;9;1
1;6412;100;100;10;1
1;6413;100;100;11;1
1;6414;100;100;12;1
1;6415;100;100;1;1
1;6416;100;100;2;1
1;6417;100;100;3;1
1;6418;100;100;4;1
1;6419;100;100;5;1
1;6420;100;100;6;1
1;6421;100;100;7;1
1;6422;100;100;8;1
1;6423;100;100;9;1
1;6424;100;100;10;1
1;6425;100;100;11;1
1;6426;100;100;12;1
1;6427;100;100;1;1
1;6428;100;100;2;1
1;6429;100;100;3;1
1;6430;100;100;4;1
1;6431;100;100;5;1
1;6432;100;100;6;1
1;6433;100;100;7;1
1;6434;100;100;8;1
1;6435;100;100;9;1
1;6436;100;100;10;1
1;6437;100;100;11;1
1;6438;100;100;12;1
1;6439;100;100;1;1
1;6440;100;100;2;1
1;6441;100;100;3;1
1;6442;100;100;4;1
1;6443;100;100;5;1
1;6444;100;100;6;1
1;6445;100;100;7;1
1;6446;100;100;8;1
1;6447;100;100;9;1
1;6448;100;100;10;1
1;6449;100;100;11;1
1;6450;100;100;12;1
1;6451;100;100;1;1
1;6452;100;100;2;1
1;6453;100;100;3;1
1;6454;100;100;4;1
1;6455;100;100;5;1
1;6456;100;100;6;1
1;6457;100;100;7;1
1;6458;100;100;8;1
1;6459;100;100;9;1
1;6460;100;100;10;1
1;6461;100;100;11;1
1;6462;100;100;12;1
0;6463;0;100;1;1
0;6464;0;100;2;1
0;6465;0;100;3;1
0;6466;0;100;4;1
0;6467;0;100;5;1
0;6468;0;100;6;1
0;6469;0;100;7;1
0;6470;0;100;8;1
0;6471;0;100;9;1
0;6472;0;100;10;1
0;6473;0;100;11;1
1;6474;0;100;12;1
1;6475;30;100;1;1
1;6476;30;100;2;1
1;6477;30;100;3;1
1;6478;30;100;4;1
1;6479;30;100;5;1
1;6480;30;100;6;1
1;6481;30;100;7;1
1;6482;30;100;8;1
1;6483;30;100;9;1
1;6484;30;100;10;1
1;6485;30;100;11;1
1;6486;30;100;12;1
0;6487;30;100;1;1
0;6488;30;100;2;1
0;6489;30;100;3;1
0;6490;30;100;4;1
0;6491;30;100;5;1
0;6492;30;100;6;1
0;6493;30;100;7;1
0;6494;30;100;8;1
0;6495;30;100;9;1
0;6496;30;100;10;1
0;6497;30;100;11;1
1;6498;30;100;12;1
0;6499;0;100;1;1
0;6500;0;100;2;1
0;6501;0;100;3;1
0;6502;0;100;4;1
0;6503;0;100;5;1
0;6504;0;100;6;1
0;6505;0;100;7;1
0;6506;0;100;8;1
0;6507;0;100;9;1
0;6508;0;100;10;1
0;6509;0;100;11;1
1;6510;0;100;12;1
1;6511;60;100;1;1
1;6512;60;100;2;1
1;6513;60;100;3;1
1;6514;60;100;4;1
1;6515;60;100;5;1
1;6516;60;100;6;1
1;6517;60;100;7;1
1;6518;60;100;8;1
1;6519;60;100;9;1
1;6520;60;100;10;1
1;6521;60;100;11;1
0;6522;60;100;12;1
1;6523;60;100;1;1
1;6524;60;100;2;1
1;6525;60;100;3;1
1;6526;60;100;4;1
1;6527;60;100;5;1
1;6528;60;100;6;1
1;6529;60;100;7;1
1;6530;60;100;8;1
1;6531;60;100;9;1
1;6532;60;100;10;1
1;6533;60;100;11;1
0;6534;60;100;12;1
1;6535;60;100;1;1
1;6536;60;100;2;1
1;6537;60;100;3;1
1;6538;60;100;4;1
1;6539;60;100;5;1
1;6540;60;100;6;1
1;6541;60;100;7;1
1;6542;60;100;8;1
1;6543;60;100;9;1
1;6544;60;100;10;1
1;6545;60;100;11;1
0;6546;60;100;12;1
1;6547;60;100;1;1
1;6548;60;100;2;1
1;6549;60;100;3;1
1;6550;60;100;4;1
1;6551;60;100;5;1
1;6552;60;100;6;1
1;6553;60;100;7;1
1;6554;60;100;8;1
1;6555;60;100;9;1
1;6556;60;100;10;1
1;6557;60;100;11;1
0;6558;60;100;12;1
1;6559;30;100;1;1
1;6560;30;100;2;1
1;6561;30;100;3;1
1;6562;30;100;4;1
1;6563;30;100;5;1
1;6564;30;100;6;1
1;6565;30;100;7;1
1;6566;30;100;8;1
1;6567;30;100;9;1
1;6568;30;100;10;1
1;6569;30;100;11;1
0;6570;30;100;12;1
1;6571;100;100;1;1
1;6572;100;100;2;1
1;6573;100;100;3;1
1;6574;100;100;4;1
1;6575;100;100;5;1
1;6576;100;100;6;1
1;6577;100;100;7;1
1;6578;100;100;8;1
1;6579;100;100;9;1
1;6580;100;100;10;1
1;6581;100;100;11;1
0;6582;100;100;12;1
1;6583;60;100;1;1
1;6584;60;100;2;1
1;6585;60;100;3;1
1;6586;60;100;4;1
1;6587;60;100;5;1
1;6588;60;100;6;1
1;6589;60;100;7;1
1;6590;60;100;8;1
1;6591;60;100;9;1
1;6592;60;100;10;1
1;6593;60;100;11;1
0;6594;60;100;12;1
1;6595;60;100;1;1
1;6596;60;100;2;1
1;6597;60;100;3;1
1;6598;60;100;4;1
1;6599;60;100;5;1
1;6600;60;100;6;1
1;6601;60;100;7;1
1;6602;60;100;8;1
1;6603;60;100;9;1
1;6604;60;100;10;1
1;6605;60;100;11;1
0;6606;60;100;12;1
1;6607;60;100;1;1
1;6608;60;100;2;1
1;6609;60;100;3;1
1;6610;60;100;4;1
1;6611;60;100;5;1
1;6612;60;100;6;1
1;6613;60;100;7;1
1;6614;60;100;8;1
1;6615;60;100;9;1
1;6616;60;100;10;1
1;6617;60;100;11;1
0;6618;60;100;12;1
1;6619;60;100;1;1
1;6620;60;100;2;1
1;6621;60;100;3;1
1;6622;60;100;4;1
1;6623;60;100;5;1
1;6624;60;100;6;1
1;6625;60;100;7;1
1;6626;60;100;8;1
1;6627;60;100;9;1
1;6628;60;100;10;1
1;6629;60;100;11;1
0;6630;60;100;12;1
1;6631;100;100;1;1
1;6632;100;100;2;1
1;6633;100;100;3;1
1;6634;100;100;4;1
1;6635;100;100;5;1
1;6636;100;100;6;1
1;6637;100;100;7;1
1;6638;100;100;8;1
1;6639;100;100;9;1
1;6640;100;100;10;1
1;6641;100;100;11;1
0;6642;100;100;12;1
1;6643;30;100;1;1
1;6644;30;100;2;1
1;6645;30;100;3;1
1;6646;30;100;4;1
1;6647;30;100;5;1
1;6648;30;100;6;1
1;6649;30;100;7;1
1;6650;30;100;8;1
1;6651;30;100;9;1
1;6652;30;100;10;1
1;6653;30;100;11;1
0;6654;30;100;12;1
1;6655;60;100;1;1
1;6656;60;100;2;1
1;6657;60;100;3;1
1;6658;60;100;4;1
1;6659;60;100;5;1
1;6660;60;100;6;1
1;6661;60;100;7;1
1;6662;60;100;8;1
1;6663;60;100;9;1
1;6664;60;100;10;1
1;6665;60;100;11;1
0;6666;60;100;12;1
1;6667;60;100;1;1
1;6668;60;100;2;1
1;6669;60;100;3;1
1;6670;60;100;4;1
1;6671;60;100;5;1
1;6672;60;100;6;1
1;6673;60;100;7;1
1;6674;60;100;8;1
1;6675;60;100;9;1
1;6676;60;100;10;1
1;6677;60;100;11;1
0;6678;60;100;12;1
0;7078;0;100;4;1
0;7079;0;100;6;1
0;7080;0;100;8;1
0;7081;0;100;10;1
0;7082;0;100;12;1
0;7083;0;100;4;1
0;7084;0;100;6;1
0;7085;0;100;8;1
0;7086;0;100;10;1
0;7087;0;100;12;1
1;7088;100;100;2;1
1;7089;100;100;5;1
1;7090;100;100;8;1
1;7091;100;100;11;1
0;7092;0;100;4;1
0;7093;0;100;6;1
0;7094;0;100;8;1
0;7095;0;100;10;1
0;7468;0;100;12;1
2;6679;30;0;1;1
2;6680;30;0;2;1
2;6681;30;0;3;1
2;6682;30;0;4;1
2;6683;30;0;5;1
2;6684;30;0;6;1
2;6685;30;0;7;1
2;6686;30;0;8;1
2;6687;30;0;9;1
2;6688;30;0;10;1
2;6689;30;0;11;1
2;6690;30;0;12;1
2;6691;60;0;1;1
2;6692;60;0;2;1
2;6693;60;0;3;1
2;6694;60;0;4;1
2;6695;60;0;5;1
2;6696;60;0;6;1
2;6697;60;0;7;1
2;6698;60;0;8;1
2;6699;60;0;9;1
2;6700;60;0;10;1
2;6701;60;0;11;1
2;6702;60;0;12;1
2;6703;30;0;1;1
2;6704;30;0;2;1
2;6705;30;0;3;1
2;6706;30;0;4;1
2;6707;30;0;5;1
2;6708;30;0;6;1
2;6709;30;0;7;1
2;6710;30;0;8;1
2;6711;30;0;9;1
2;6712;30;0;10;1
2;6713;30;0;11;1
2;6714;30;0;12;1
2;6715;100;0;1;1
2;6716;100;0;2;1
2;6717;100;0;3;1
2;6718;100;0;4;1
