ID;Lvl;CharGender;MaxHP;MaxMP;ResistFrozen;ResistFrostbite;ResistBurn;ResistEShock;ResistPoison;ResistZombie;ResistSleep;ResistRoot;ResistSlow;ResistFear;ResistMyopia;ResistBlood;ResistStone;ResistDark;ResistStun;ResistDisea;ResistChaos;ResistCsePD;ResistCseMD;ResistCseSTR;ResistCseINT;ResistCseHP;ResistCseMP;Resist24;ResistBomb;Resist26;Resist27;Resist28;Resist29;Resist30;Resist31;Resist32;InventorySize;CanStore_TID1;CanStore_TID2;CanStore_TID3;CanStore_TID4;CanBeVehicle;CanControl;DamagePortion;MaxPassenger;AssocTactics;PD;MD;PAR;MAR;ER;BR;HR;CHR;ExpToGive;CreepType;Knockdown;KO_RecoverTime;DefaultSkill_1;DefaultSkill_2;DefaultSkill_3;DefaultSkill_4;DefaultSkill_5;DefaultSkill_6;DefaultSkill_7;DefaultSkill_8;DefaultSkill_9;DefaultSkill_10;TextureType;Except_1;Except_2;Except_3;Except_4;Except_5;Except_6;Except_7;Except_8;Except_9;Except_10;Link
1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;336860180;3;3000;1;2;40;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
