"wRegionID";"X";"Z";"ContinentName";"AreaName";"IsBattleField";"Climate";"MaxCapacity";"AssocObjID";"AssocServer";"AssocFile256";"LinkedRegion_1";"LinkedRegion_2";"LinkedRegion_3";"LinkedRegion_4";"LinkedRegion_5";"LinkedRegion_6";"LinkedRegion_7";"LinkedRegion_8";"LinkedRegion_9";"LinkedRegion_10"
"-32767";"0";"0";"Donwhang";"???? ??";"1";"1005";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32766";"0";"0";"TQ";"???? ??6?";"1";"1001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32765";"0";"0";"TQ";"???? ??5?";"1";"1001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32764";"0";"0";"TQ";"???? ??4?";"1";"1001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32763";"0";"0";"TQ";"???? ??3?";"1";"1001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32762";"0";"0";"TQ";"???? ??2?";"1";"1001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32761";"0";"0";"TQ";"???? ??1?";"1";"1001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32759";"0";"0";"Donwhang";"??? ??";"1";"1005";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32758";"0";"0";"TEMPLE";"TEMPLE_???";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32757";"0";"0";"TEMPLE";"TEMPLE_???";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32756";"0";"0";"TEMPLE";"TEMPLE_????";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32755";"0";"0";"TEMPLE";"TEMPLE_???";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32754";"0";"0";"TEMPLE";"TEMPLE_?????";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32753";"0";"0";"TEMPLE";"TEMPLE_???";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32752";"0";"0";"TEMPLE";"TEMPLE_????";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32751";"0";"0";"SIEGE_DUNGEON";"??????";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32750";"0";"0";"GOD_FLAME";"???";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32749";"0";"0";"JUPITER";"???? A??_???";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32748";"0";"0";"JUPITER";"???? A??_??";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32747";"0";"0";"JUPITER";"???? A??_????";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32746";"0";"0";"JUPITER";"???? B??";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32745";"0";"0";"GM_EVENT";"GM ??? ?";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"-32744";"0";"0";"PRISON";"???? ??";"1";"3001";"-1";"0";"0";"xxx";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"14660";"68";"57";"FORT_HT_AREA";"????";"1";"2001";"-1";"0";"0";"xxx";"0";"0";"14916";"14917";"14661";"0";"0";"0";"0";"0"
"14661";"69";"57";"FORT_HT_AREA";"????";"1";"2001";"-1";"0";"0";"xxx";"14660";"14916";"14917";"14918";"14662";"0";"0";"0";"0";"0"
"14662";"70";"57";"FORT_HT_AREA";"????";"1";"2001";"-1";"0";"0";"xxx";"14661";"14917";"14918";"14919";"14663";"0";"0";"0";"0";"0"
"14663";"71";"57";"FORT_HT_AREA";"????";"1";"2001";"-1";"0";"0";"xxx";"14662";"14918";"14919";"14920";"14664";"0";"0";"0";"0";"0"
"14664";"72";"57";"FORT_HT_AREA";"????";"1";"2001";"-1";"0";"0";"xxx";"14663";"14919";"14920";"0";"0";"0";"0";"0";"0";"0"
